City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
399,Kunri,PK,25.1785,69.5691,105.75,8,0,24.47,clear sky,2022-05-14 14:22:32
400,Prince Rupert,CA,54.3161,-130.3201,44.29,85,0,13.8,clear sky,2022-05-14 14:22:33
401,Pevek,RU,69.7008,170.3133,33.62,87,100,17.09,overcast clouds,2022-05-14 14:22:33
402,Kourou,GF,5.1552,-52.6478,86.05,87,83,6.06,moderate rain,2022-05-14 14:22:34
403,Egvekinot,RU,66.3167,-179.1667,25.11,98,100,2.73,overcast clouds,2022-05-14 14:22:34
404,Nianzishan,CN,47.5167,122.8833,52.25,43,93,5.86,overcast clouds,2022-05-14 14:22:35
405,Wanaka,NZ,-44.7,169.15,52.11,89,100,0.89,overcast clouds,2022-05-14 14:22:35
406,Matamoros,MX,25.5333,-103.25,77.11,44,0,0.0,clear sky,2022-05-14 14:20:00
407,Luganville,VU,-15.5333,167.1667,77.25,77,99,8.5,overcast clouds,2022-05-14 14:22:36
408,Marzuq,YE,14.4,46.4667,91.2,8,91,18.52,overcast clouds,2022-05-14 14:22:36
409,Kitui,KE,-1.367,38.0106,77.5,51,82,10.38,broken clouds,2022-05-14 14:22:37
410,Unai,BR,-16.3575,-46.9061,84.7,42,13,7.29,few clouds,2022-05-14 14:23:37
411,Pskov,RU,57.8136,28.3496,49.91,87,100,6.71,light intensity shower rain,2022-05-14 14:20:42
412,Broome,US,42.2506,-75.833,74.7,66,20,8.05,few clouds,2022-05-14 14:23:38
413,Pitimbu,BR,-7.4706,-34.8086,82.99,80,87,10.89,overcast clouds,2022-05-14 14:23:38
414,Chanute,US,37.6792,-95.4572,76.44,69,0,0.0,clear sky,2022-05-14 14:23:39
415,Te Anau,NZ,-45.4167,167.7167,48.92,93,100,1.83,overcast clouds,2022-05-14 14:23:39
416,Kangasala,FI,61.4638,24.076,55.33,60,100,6.17,light rain,2022-05-14 14:23:40
417,Ivanava,BY,52.1451,25.5365,58.46,69,81,18.92,light rain,2022-05-14 14:23:40
418,Atherton,GB,53.5237,-2.4935,70.05,50,96,3.0,overcast clouds,2022-05-14 14:23:41
419,Volovo,UA,48.5246,23.5056,67.53,40,49,5.12,scattered clouds,2022-05-14 14:23:41
420,Sorbhog,IN,26.5,90.8667,79.16,87,0,5.12,clear sky,2022-05-14 14:23:42
421,Broken Hill,AU,-31.95,141.4333,61.02,65,100,6.11,overcast clouds,2022-05-14 14:23:43
422,Norman Wells,CA,65.282,-126.8329,35.64,80,75,17.27,broken clouds,2022-05-14 14:23:43
423,Gorontalo,ID,0.5412,123.0595,75.58,97,99,2.64,light rain,2022-05-14 14:23:43
424,Grand-Lahou,CI,5.1367,-5.0242,76.12,85,100,4.76,light rain,2022-05-14 14:23:44
425,Henties Bay,NA,-22.116,14.2845,62.74,67,0,10.29,clear sky,2022-05-14 14:23:44
426,Malm,NO,64.0721,11.2172,44.78,82,97,18.34,light rain,2022-05-14 14:23:45
427,Sawakin,SD,19.1059,37.3321,91.22,51,1,9.31,clear sky,2022-05-14 14:23:45
428,Beyneu,KZ,45.3167,55.2,75.49,29,8,13.27,clear sky,2022-05-14 14:23:46
429,Camacha,PT,33.0833,-16.3333,67.42,68,20,17.27,few clouds,2022-05-14 14:23:46
430,Manokwari,ID,-0.8667,134.0833,79.81,78,100,3.02,overcast clouds,2022-05-14 14:23:46
431,Bani,DO,18.2833,-70.3333,83.64,72,100,11.88,overcast clouds,2022-05-14 14:23:47
432,Padang,ID,-0.9492,100.3543,84.25,83,6,3.47,clear sky,2022-05-14 14:23:47
433,Cochabamba,BO,-17.3895,-66.1568,67.19,44,20,4.61,few clouds,2022-05-14 14:20:29
434,Oussouye,SN,12.485,-16.5469,98.78,34,74,9.57,broken clouds,2022-05-14 14:23:48
435,Qena,EG,26.1615,32.7183,112.84,4,3,13.0,clear sky,2022-05-14 14:23:48
436,Oroville,US,39.5138,-121.5564,64.96,58,0,1.99,clear sky,2022-05-14 14:21:09
