City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Castro,BR,2022-05-09 20:12:13,-24.7911,-50.0119,64.38,77,80,4.94
68,Lagoa,PT,2022-05-09 20:10:59,39.05,-27.9833,63.72,76,57,4.18
69,Lusambo,CD,2022-05-09 20:12:14,-4.9667,23.45,73.2,85,50,1.01
70,Juneau,US,2022-05-09 20:12:14,58.3019,-134.4197,59.0,97,0,9.22
71,Diego De Almagro,CL,2022-05-09 20:12:15,-26.3667,-70.05,79.48,15,0,10.09
72,Richards Bay,ZA,2022-05-09 20:12:15,-28.783,32.0377,63.77,87,2,6.96
73,Butaritari,KI,2022-05-09 20:12:16,3.0707,172.7902,81.39,73,16,19.26
74,Tarakan,ID,2022-05-09 20:12:16,3.3,117.6333,77.54,90,100,9.33
75,Mountain Home,US,2022-05-09 20:12:17,43.133,-115.6912,44.08,45,100,16.11
76,Mataura,NZ,2022-05-09 20:12:17,-46.1927,168.8643,48.47,96,97,1.54
77,Valente,BR,2022-05-09 20:12:18,-11.4122,-39.4619,75.88,71,96,12.64
78,Turtas,RU,2022-05-09 20:12:18,58.9417,69.1325,50.32,57,61,4.41
79,Bethel,US,2022-05-09 20:12:18,41.3712,-73.414,71.64,25,0,13.8
80,Klaksvik,FO,2022-05-09 20:08:14,62.2266,-6.589,47.32,98,100,13.47
81,Flinders,AU,2022-05-09 20:12:19,-34.5833,150.8552,59.18,94,92,3.0
82,Kirensk,RU,2022-05-09 20:12:20,57.7853,108.1119,28.74,94,100,3.91
83,Boyuibe,BO,2022-05-09 20:12:20,-20.4167,-63.2833,65.01,82,100,6.91
84,Salym,RU,2022-05-09 20:12:20,60.0625,71.4789,47.19,77,21,5.59
85,Bathsheba,BB,2022-05-09 20:12:21,13.2167,-59.5167,84.81,70,20,13.8
86,Kodiak,US,2022-05-09 20:12:21,57.79,-152.4072,45.91,46,40,14.97
87,Saskylakh,RU,2022-05-09 20:12:22,71.9167,114.0833,19.87,96,100,7.23
88,Kramat,ID,2022-05-09 20:12:22,-8.1311,113.4499,75.29,95,63,1.77
89,Fortuna,US,2022-05-09 20:13:23,40.5982,-124.1573,53.98,82,75,5.75
90,Komsomolskiy,UZ,2022-05-09 20:13:24,40.4272,71.7189,77.13,40,99,4.94
91,Bad Sachsa,DE,2022-05-09 20:13:24,51.595,10.5555,56.91,74,4,3.11
92,Severo-Kurilsk,RU,2022-05-09 20:08:58,50.6789,156.125,37.74,84,100,15.41
93,Fairbanks,US,2022-05-09 20:11:02,64.8378,-147.7164,41.22,88,100,12.66
94,Faya,SA,2022-05-09 20:13:25,18.3851,42.4509,68.52,58,57,4.63
